provider.name,dataProvider.name,collection.id,collection.title,count
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Speechwriting Office (Clinton Administration),32
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the First Lady's Office (Clinton Administration),41
National_Archives_and_Records_Administration,William J. Clinton Library,,"Records of the National Security Council Democracy, Human Rights, and Multilateral Affairs Office (Clinton Administration)",2
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of Communications (Clinton Administration),8
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of the Counsel to the President (Clinton Administration),21
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of Policy Development (Clinton Administration),6
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Records Management Office (Clinton Administration),28
National_Archives_and_Records_Administration,William J. Clinton Library,,Presidential Electronic Mail from the Automated Records Management System (ARMS),11
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the White House Office for Women's Initiative and Outreach (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Photographs of the White House Photograph Office (Clinton Administration),9
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council European Affairs Office (Clinton Administration),7
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Office of Press and Communications (Clinton Administration),10
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council International Economic Affairs Office (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council (Clinton Administration),13
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Transnational Threats Office (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Council of Economic Advisers (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of Intergovernmental Affairs (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of the Chief of Staff (Clinton Administration),2
National_Archives_and_Records_Administration,William J. Clinton Library,,Video Recordings of the White House Television Office (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the Office of Legislative Affairs (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Records of the National Security Council Near East and South Asian Affairs Office (Clinton Administration),1
National_Archives_and_Records_Administration,William J. Clinton Library,,Tape Restoration Project (TRP) Emails,1
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of District Courts of the United States,487
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the Puerto Rico Reconstruction Administration,1
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of Naval Districts and Shore Establishments,2
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the National Aeronautics and Space Administration,3
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the U.S. Courts of Appeals,1
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the National Park Service,1
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the Farmers Home Administration,1
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the U.S. Food Administration,1
National_Archives_and_Records_Administration,National Archives at Philadelphia,,Records of the Office of the Chief of Ordnance,3
National_Archives_and_Records_Administration,Gerald R. Ford Library,,White House Photographic Office Collection (Ford Administration),29
National_Archives_and_Records_Administration,Gerald R. Ford Library,,White House Press Releases (Ford Administration),253
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Ron Nessen Papers,35
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Gerald R. Ford Composite Collection,1
National_Archives_and_Records_Administration,Gerald R. Ford Library,,President's Daily Diary (Ford Administration),19
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Ron Nessen Files (Ford Administration),16
National_Archives_and_Records_Administration,Gerald R. Ford Library,,White House Records Office: Legislation Case Files,35
National_Archives_and_Records_Administration,Gerald R. Ford Library,,President's Speeches and Statements Reading Copies (Ford Administration),20
National_Archives_and_Records_Administration,Gerald R. Ford Library,,National Security Council Meetings Files (Ford Administration),2
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Robert M. Teeter Papers,10
National_Archives_and_Records_Administration,Gerald R. Ford Library,,John O. Marsh Files (Ford Administration),25
National_Archives_and_Records_Administration,Gerald R. Ford Library,,"Henry Kissinger Reports on U.S.S.R., China and Middle East Discussions (Ford Administration)",3
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Gerald R. Ford Congressional Papers,2
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Presidential Country Files for East Asia and the Pacific (Ford Administration),2
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Memoranda of Conversations (Nixon and Ford Administrations),21
National_Archives_and_Records_Administration,Gerald R. Ford Library,,White House Central Files Subject Files (Ford Administration),2
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Robert T. Hartmann Papers,2
National_Archives_and_Records_Administration,Gerald R. Ford Library,,National Security Decision Memoranda and National Security Study Memoranda (Ford Administration),4
National_Archives_and_Records_Administration,Gerald R. Ford Library,,White House Special Files Unit Files,5
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Richard B. Cheney Files,8
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Bradley H. Patterson Files (Ford Administration),2
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Presidential Transition Files (Ford Administration),1
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Frances K. Pullen Files,2
National_Archives_and_Records_Administration,Gerald R. Ford Library,,Presidential Correspondence with Foreign Leaders (Ford Administration),1
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Bureau of Indian Affairs,38
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the National Park Service,314
National_Archives_and_Records_Administration,National Archives at Seattle,,Sir Henry Wellcome Collection,32
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Office of the Chief of Engineers,26
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of Naval Districts and Shore Establishments,3
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Weather Bureau,11
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the U.S. Geological Survey,8
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Bureau of Land Management,3
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Bureau of Public Roads,10
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the U.S. Fish and Wildlife Service,12
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Forest Service,15
National_Archives_and_Records_Administration,National Archives at Seattle,,General Records of the Department of the Treasury,5
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Bureau of Yards and Docks,3
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Indian Arts and Crafts Board,5
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Bureau of Prisons,4
National_Archives_and_Records_Administration,National Archives at Seattle,,Edwin P. Chalcraft Papers,1
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the U.S. Coast Guard,2
National_Archives_and_Records_Administration,National Archives at Seattle,,General Records of the Department of Energy,1
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Immigration and Naturalization Service,3
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of the Bureau of Marine Inspection and Navigation,1
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of District Courts of the United States,1
National_Archives_and_Records_Administration,National Archives at Seattle,,Records of U.S. Army Coast Artillery Districts and Defenses,1
National_Archives_and_Records_Administration,Harry S. Truman Library,,Clark M. Clifford Papers,1
National_Archives_and_Records_Administration,Harry S. Truman Library,,Bess W. Truman Papers,111
National_Archives_and_Records_Administration,Harry S. Truman Library,,Dean Acheson Papers,22
National_Archives_and_Records_Administration,Harry S. Truman Library,,Audiovisual Collection,93
National_Archives_and_Records_Administration,Harry S. Truman Library,,Matthew J. Connelly White House Files (Truman Administration),94
National_Archives_and_Records_Administration,Harry S. Truman Library,,Earl J. McGrath Papers,15
National_Archives_and_Records_Administration,Harry S. Truman Library,,"Harry S. Truman Papers Pertaining to Family, Business and Personal Affairs",72
National_Archives_and_Records_Administration,Harry S. Truman Library,,President's Secretary's Files (Truman Administration),14
National_Archives_and_Records_Administration,Harry S. Truman Library,,Matthew J. Connelly Papers,25
National_Archives_and_Records_Administration,Harry S. Truman Library,,Map Room File (Truman Administration),25
National_Archives_and_Records_Administration,Harry S. Truman Library,,Nancy Bentley Papers,7
National_Archives_and_Records_Administration,Harry S. Truman Library,,Harry S. Truman Post-Presidential Papers,1
National_Archives_and_Records_Administration,Harry S. Truman Library,,"Records of Temporary Committees, Commissions, and Boards",7
National_Archives_and_Records_Administration,Harry S. Truman Library,,Confidential Files (Truman Administration),2
National_Archives_and_Records_Administration,Harry S. Truman Library,,Official Files (Truman Administration),7
National_Archives_and_Records_Administration,Harry S. Truman Library,,George M. Elsey Papers,1
National_Archives_and_Records_Administration,Harry S. Truman Library,,"Records of the Commerce Bancshares, Inc.",1
National_Archives_and_Records_Administration,Harry S. Truman Library,,Anna Eleanor Roosevelt Papers,1
National_Archives_and_Records_Administration,Harry S. Truman Library,,President's Personal Files (Truman Administration),1
National_Archives_and_Records_Administration,Jimmy Carter Library,,White House Staff Photographers Collection,495
National_Archives_and_Records_Administration,Jimmy Carter Library,,Records of the Domestic Policy Staff (Carter Administration),1
National_Archives_and_Records_Administration,Jimmy Carter Library,,Records of the Office of the Staff Secretary,2
National_Archives_and_Records_Administration,Jimmy Carter Library,,Records of the White House Office of Counsel to the President,1
National_Archives_and_Records_Administration,Jimmy Carter Library,,Carter White House Central Files,1
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,,"Papers as President, President's Personal File",56
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,,Franklin D. Roosevelt Library Public Domain Photographs,138
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,,President's Secretary's File (Franklin D. Roosevelt Administration),110
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,,"Papers as President, Map Room File",40
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,,Franklin D. Roosevelt Library Photographs,7
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,,Map Room Papers (Roosevelt Administration),48
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,,"Henry Morgenthau, Jr. Papers",74
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,,Sound Recordings Collection,21
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,,Anna Eleanor Roosevelt Papers,5
National_Archives_and_Records_Administration,Franklin D. Roosevelt Library,,"Franklin D. Roosevelt Family, Business and Personal Papers",1
National_Archives_and_Records_Administration,National Archives at Chicago,,Records of District Courts of the United States,84
National_Archives_and_Records_Administration,National Archives at Chicago,,Records of the Forest Service,395
National_Archives_and_Records_Administration,National Archives at Chicago,,Records of the Bureau of Indian Affairs,7
National_Archives_and_Records_Administration,National Archives at Chicago,,Records of the Office of the Chief of Engineers,7
National_Archives_and_Records_Administration,National Archives at Chicago,,Records of U.S. Attorneys,3
National_Archives_and_Records_Administration,National Archives at Chicago,,Records of the U.S. Food Administration,1
National_Archives_and_Records_Administration,National Archives at Chicago,,Records of the War Department General and Special Staffs,1
National_Archives_and_Records_Administration,National Archives at Chicago,,Records of Naval Districts and Shore Establishments,2
National_Archives_and_Records_Administration,Ronald Reagan Library,,White House Office of Records Management File Systems (White House Central Files),19
National_Archives_and_Records_Administration,Ronald Reagan Library,,Records of the White House Television Office (WHTV) (Reagan Administration),185
National_Archives_and_Records_Administration,Ronald Reagan Library,,Records of the White House Office of the Deputy Chief of Staff (Reagan Administration),20
National_Archives_and_Records_Administration,Ronald Reagan Library,,White House Photographic Collection,196
National_Archives_and_Records_Administration,Ronald Reagan Library,,Numbered National Security Policy Papers,25
National_Archives_and_Records_Administration,Ronald Reagan Library,,Records of the White House Communications Agency (WHCA) (Reagan Administration),20
National_Archives_and_Records_Administration,Ronald Reagan Library,,Records of the Office of the Chief of Staff (Reagan Administration),30
National_Archives_and_Records_Administration,Ronald Reagan Library,,"Executive Secretariat, National Security Council: Records",2
National_Archives_and_Records_Administration,Ronald Reagan Library,,Records of the Office of the President (Reagan Administration),3
National_Archives_and_Records_Administration,Center for Legislative Archives,,Records of the U.S. Senate,253
National_Archives_and_Records_Administration,Center for Legislative Archives,,Records of the U.S. House of Representatives,124
National_Archives_and_Records_Administration,Center for Legislative Archives,,Records of Commissions of the Legislative Branch,117
National_Archives_and_Records_Administration,Center for Legislative Archives,,Records of Joint Committees of Congress,4
National_Archives_and_Records_Administration,Center for Legislative Archives,,Publications of the U.S. Government,2
National_Archives_and_Records_Administration,Richard Nixon Library,,Richard M. Nixon's Returned Materials Collection,271
National_Archives_and_Records_Administration,Richard Nixon Library,,White House Photo Office Collection (Nixon Administration),193
National_Archives_and_Records_Administration,Richard Nixon Library,,Records of the Office of Presidential Papers,13
National_Archives_and_Records_Administration,Richard Nixon Library,,Richard Nixon Foundation Collection of Audiovisual Materials,19
National_Archives_and_Records_Administration,Richard Nixon Library,,White House Subject Files (Nixon Administration),2
National_Archives_and_Records_Administration,Richard Nixon Library,,White House Staff Member and Office Files (Nixon Administration),2
National_Archives_and_Records_Administration,Presidential Materials Division,,Vice Presidential Records of the Photography Office (George W. Bush Administration),469
National_Archives_and_Records_Administration,Presidential Materials Division,,Records of the Office of the Chief of Staff and Administration in the Office of the Vice President (Clinton Administration),1
National_Archives_and_Records_Administration,Presidential Materials Division,,Vice Presidential Records of the White House Photograph Office (Clinton Administration),24
National_Archives_and_Records_Administration,Presidential Materials Division,,Electronic Records of the Office of the Vice President (Clinton Administration),4
National_Archives_and_Records_Administration,Presidential Materials Division,,Records of the Office of Staff Secretary in the Office of the Vice President (George W. Bush Administration),1
National_Archives_and_Records_Administration,Presidential Materials Division,,Records of the Office of Domestic Policy in the Office of the Vice President (Clinton Administration),1
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the Office of the Staff Secretary (George W. Bush Administration),23
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the White House Office of Records Management (George W. Bush Administration),173
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the White House Counsel's Office (George W. Bush Administration),22
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the Office of Appointments and Scheduling (George W. Bush Administration),53
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the White House Photo Office (George W. Bush Administration),115
National_Archives_and_Records_Administration,George W. Bush Library,,Electronic Records of the George W. Bush Administration,16
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the Office of Communications (George W. Bush Administration),2
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the Counselor's Office (George W. Bush Administration),28
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the Office of Administration (George W. Bush Administration),1
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the White House Communications Agency (George W. Bush Administration),4
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the Office of Strategic Initiatives (George W. Bush Administration),1
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the National Security Council Office of Records and Access Management (George W. Bush Administration),26
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the Office of Laura Bush (George W. Bush Administration),10
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the National Security Council European Affairs Directorate (George W. Bush Administration),7
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the White House Social Office (George W. Bush Administration),4
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the Office of Speechwriting (George W. Bush Administration),4
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the National Security Council Office of Media Communications and Speechwriting (George W. Bush Administration),2
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the National Security Council Office of the National Security Advisor (George W. Bush Administration),1
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the National Security Council African Affairs Directorate (George W. Bush Administration),3
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the Office of Presidential Personnel (George W. Bush Administration),1
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the National Security Council Global Democracy Strategy Directorate (George W. Bush Administration),1
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the Office of Public Liaison (George W. Bush Administration),1
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the National Security Council Office of the Executive Secretary (George W. Bush Administration),1
National_Archives_and_Records_Administration,George W. Bush Library,,Records of the National Economic Council (George W. Bush Administration),1
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the Office of the Chief of Engineers,30
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of District Courts of the United States,27
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the Tennessee Valley Authority,282
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of Naval Districts and Shore Establishments,36
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the Committee on Fair Employment Practice,2
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the Office of the Quartermaster General,45
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the National Aeronautics and Space Administration,14
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the Atomic Energy Commission,1
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the Centers for Disease Control and Prevention,18
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the Indian Arts and Crafts Board,9
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the Bureau of Prisons,10
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the War Manpower Commission,5
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the National Park Service,3
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the Selective Service System (World War I),12
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the Bureau of Indian Affairs,5
National_Archives_and_Records_Administration,National Archives at Atlanta,,Records of the U.S. Fish and Wildlife Service,1
National_Archives_and_Records_Administration,National Archives at Denver,,Records of District Courts of the United States,33
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the Bureau of Land Management,10
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the Forest Service,13
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the Bureau of Indian Affairs,161
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the Bureau of Reclamation,249
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the U.S. Food Administration,4
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the Bureau of Public Roads,8
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the Department of Veterans Affairs,7
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the National Park Service,8
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the Office of Price Administration,4
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the American Revolution Bicentennial Administration,1
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the Army Air Forces,1
National_Archives_and_Records_Administration,National Archives at Denver,,Records of the U.S. Mint,1
National_Archives_and_Records_Administration,John F. Kennedy Library,,White House Photographs,91
National_Archives_and_Records_Administration,John F. Kennedy Library,,John F. Kennedy Personal Papers,66
National_Archives_and_Records_Administration,John F. Kennedy Library,,Burke Marshall Personal Papers,11
National_Archives_and_Records_Administration,John F. Kennedy Library,,Papers of John F. Kennedy: Presidential Papers: National Security Files,132
National_Archives_and_Records_Administration,John F. Kennedy Library,,Papers of John F. Kennedy: Pre-Presidential Papers: House of Representatives Files,6
National_Archives_and_Records_Administration,John F. Kennedy Library,,Papers of John F. Kennedy: Presidential Papers: President's Office Files,107
National_Archives_and_Records_Administration,John F. Kennedy Library,,Miscellaneous Manuscripts,2
National_Archives_and_Records_Administration,John F. Kennedy Library,,Papers of President Kennedy: White House Central Files,12
National_Archives_and_Records_Administration,John F. Kennedy Library,,Vertical File,1
National_Archives_and_Records_Administration,John F. Kennedy Library,,Robert F. Kennedy Papers,17
National_Archives_and_Records_Administration,John F. Kennedy Library,,White House Staff Files: Papers of Pierre E. G. Salinger,4
National_Archives_and_Records_Administration,John F. Kennedy Library,,Papers of John F. Kennedy: Pre-Presidential Papers: Senate Files,12
National_Archives_and_Records_Administration,John F. Kennedy Library,,Printed Materials Collection,1
National_Archives_and_Records_Administration,John F. Kennedy Library,,Abba P. Schwartz Personal Papers,6
National_Archives_and_Records_Administration,John F. Kennedy Library,,Papers of John F. Kennedy: Pre-Presidential Papers: Presidential Campaign Files,2
National_Archives_and_Records_Administration,John F. Kennedy Library,,Ernest Hemingway Collection,9
National_Archives_and_Records_Administration,John F. Kennedy Library,,Samuel H. Beer Personal Papers,7
National_Archives_and_Records_Administration,John F. Kennedy Library,,Department of Defense Cuban Missile Crisis Briefing Materials,3
National_Archives_and_Records_Administration,John F. Kennedy Library,,Genealogy File,5
National_Archives_and_Records_Administration,John F. Kennedy Library,,John F. Kennedy Library Oral History Program,2
National_Archives_and_Records_Administration,John F. Kennedy Library,,Papers of John F. Kennedy: Presidential Papers: White House Staff Files of Sanford L. Fox,1
National_Archives_and_Records_Administration,John F. Kennedy Library,,Papers of John F. Kennedy: Presidential Papers: White House Staff Files of Godfrey T. McHugh,1
National_Archives_and_Records_Administration,John F. Kennedy Library,,John F. Kennedy Library Museum Collection,1
National_Archives_and_Records_Administration,John F. Kennedy Library,,Theodore Sorensen Papers,1
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the Forest Service,33
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the National Archives and Records Administration,17
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of District Courts of the United States,115
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the Bureau of Indian Affairs,38
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of Naval Districts and Shore Establishments,93
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the Office of the Chief of Engineers,41
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the Atomic Energy Commission,11
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the U.S. Marshals Service,89
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the U.S. Geological Survey,29
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the U.S. Customs Service,7
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the Immigration and Naturalization Service,17
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the National Park Service,4
National_Archives_and_Records_Administration,National Archives at Riverside,,"Records of U.S. Army Operational, Tactical, and Support Organizations (World War II and Thereafter)",3
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the National Aeronautics and Space Administration,1
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the Bureau of Land Management,1
National_Archives_and_Records_Administration,National Archives at Riverside,,Records of the Selective Service System,1
National_Archives_and_Records_Administration,National Archives at St. Louis,,Records of the Selective Service System,419
National_Archives_and_Records_Administration,National Archives at St. Louis,,"Records of U.S. Air Force Commands, Activities, and Organizations",15
National_Archives_and_Records_Administration,National Archives at St. Louis,,Records of the U.S. Marine Corps,16
National_Archives_and_Records_Administration,National Archives at St. Louis,,Records of the Army Staff,29
National_Archives_and_Records_Administration,National Archives at St. Louis,,Records of the Bureau of Naval Personnel,21
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of Naval Districts and Shore Establishments,78
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the Immigration and Naturalization Service,45
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the Bureau of Indian Affairs,131
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the Office of the Surgeon General (Army),22
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the Farmers Home Administration,15
National_Archives_and_Records_Administration,National Archives at San Francisco,,General Records of the Department of Labor,13
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the Bureau of Prisons,19
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of U.S. Attorneys,7
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of District Courts of the United States,57
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the Work Projects Administration,7
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the Office of the Chief of Engineers,13
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the U.S. Mint,33
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the National Park Service,11
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the Government of American Samoa,17
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the U.S. Courts of Appeals,4
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the U.S. Food Administration,3
National_Archives_and_Records_Administration,National Archives at San Francisco,,Records of the U.S. Customs Service,6
National_Archives_and_Records_Administration,National Archives at San Francisco,,General Records of the Department of Energy,1
